Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0004,
Sample Interval,4e-07,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.5
Label,,
TIME,CH1,CH2
-1.9284e-03,0.09,0.09
-1.9280e-03,0.09,0.11
-1.9276e-03,0.05,0.09
-1.9272e-03,0.07,0.09
-1.9268e-03,0.07,0.09
-1.9264e-03,0.07,0.09
-1.9260e-03,0.05,0.09
-1.9256e-03,0.07,0.11
-1.9252e-03,0.07,0.09
-1.9248e-03,0.05,0.09
-1.9244e-03,0.07,0.09
-1.9240e-03,0.05,0.09
-1.9236e-03,0.05,0.09
-1.9232e-03,0.07,0.11
-1.9228e-03,0.07,0.09
-1.9224e-03,0.07,0.11
-1.9220e-03,0.07,0.11
-1.9216e-03,0.07,0.11
-1.9212e-03,0.09,0.09
-1.9208e-03,0.07,0.09
-1.9204e-03,0.07,0.09
-1.9200e-03,0.07,0.09
-1.9196e-03,0.07,0.07
-1.9192e-03,0.07,0.11
-1.9188e-03,0.05,0.13
-1.9184e-03,0.07,0.09
-1.9180e-03,0.07,0.09
-1.9176e-03,0.05,0.11
-1.9172e-03,0.07,0.11
-1.9168e-03,0.07,0.09
-1.9164e-03,0.07,0.09
-1.9160e-03,0.07,0.07
-1.9156e-03,0.05,0.09
-1.9152e-03,0.07,0.11
-1.9148e-03,0.07,0.09
-1.9144e-03,0.05,0.11
-1.9140e-03,0.05,0.11
-1.9136e-03,0.07,0.07
-1.9132e-03,0.07,0.09
-1.9128e-03,0.07,0.11
-1.9124e-03,0.05,0.09
-1.9120e-03,0.07,0.09
-1.9116e-03,0.07,0.09
-1.9112e-03,1.91,0.09
-1.9108e-03,1.93,0.09
-1.9104e-03,1.91,0.11
-1.9100e-03,1.91,0.11
-1.9096e-03,1.91,0.13
-1.9092e-03,1.91,0.17
-1.9088e-03,1.95,0.17
-1.9084e-03,1.91,0.15
-1.9080e-03,1.91,0.19
-1.9076e-03,1.91,0.19
-1.9072e-03,1.93,0.23
-1.9068e-03,1.93,0.25
-1.9064e-03,1.93,0.25
-1.9060e-03,1.93,0.27
-1.9056e-03,1.93,0.29
-1.9052e-03,1.95,0.33
-1.9048e-03,1.95,0.35
-1.9044e-03,1.93,0.35
-1.9040e-03,1.93,0.37
-1.9036e-03,1.95,0.41
-1.9032e-03,1.95,0.43
-1.9028e-03,1.95,0.47
-1.9024e-03,1.95,0.47
-1.9020e-03,1.93,0.49
-1.9016e-03,1.93,0.51
-1.9012e-03,1.95,0.51
-1.9008e-03,1.93,0.55
-1.9004e-03,1.93,0.55
-1.9000e-03,1.95,0.59
-1.8996e-03,1.93,0.61
-1.8992e-03,1.93,0.61
-1.8988e-03,1.95,0.65
-1.8984e-03,1.95,0.67
-1.8980e-03,1.97,0.69
-1.8976e-03,1.93,0.71
-1.8972e-03,1.95,0.75
-1.8968e-03,1.93,0.75
-1.8964e-03,1.95,0.75
-1.8960e-03,1.93,0.77
-1.8956e-03,1.95,0.79
-1.8952e-03,1.93,0.81
-1.8948e-03,1.93,0.83
-1.8944e-03,1.95,0.83
-1.8940e-03,1.95,0.87
-1.8936e-03,1.95,0.85
-1.8932e-03,1.95,0.91
-1.8928e-03,1.93,0.93
-1.8924e-03,1.97,0.93
-1.8920e-03,1.95,0.95
-1.8916e-03,1.95,0.97
-1.8912e-03,1.93,0.99
-1.8908e-03,1.93,1.01
-1.8904e-03,1.95,1.01
-1.8900e-03,1.95,1.01
