Model,DPO4034,DPO4034
Firmware Version,2.1,2.1
,,
Point Format,Y,Y
Horizontal Units,S,S
Horizontal Scale,0.0001,0.0001
Sample Interval,1.00E-07,1.00E-07
Record Length,10000,10000
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.1,1
Label,,
TIME,CH1,CH2
-4.83E-04,-0.448,-0.38
-4.83E-04,-0.44,-0.46
-4.83E-04,-0.44,-0.42
-4.83E-04,-0.456,-0.46
-4.83E-04,-0.46,-0.46
-4.83E-04,-0.448,-0.42
-4.83E-04,-0.444,-0.34
-4.83E-04,-0.436,-0.34
-4.82E-04,-0.436,-0.34
-4.82E-04,-0.432,-0.38
-4.82E-04,-0.428,-0.38
-4.82E-04,-0.436,-0.34
-4.82E-04,-0.424,-0.34
-4.82E-04,-0.428,-0.34
-4.82E-04,-0.42,-0.38
-4.82E-04,-0.428,-0.38
-4.82E-04,-0.428,-0.38
-4.82E-04,-0.424,-0.3
-4.81E-04,-0.424,-0.34
-4.81E-04,-0.416,-0.38
-4.81E-04,-0.416,-0.38
-4.81E-04,-0.408,-0.26
-4.81E-04,-0.408,-0.38
-4.81E-04,-0.408,-0.38
-4.81E-04,-0.416,-0.38
-4.81E-04,-0.4,-0.38
-4.81E-04,-0.404,-0.38
-4.81E-04,-0.404,-0.34
-4.80E-04,-0.416,-0.3
-4.80E-04,-0.408,-0.38
-4.80E-04,-0.412,-0.34
-4.80E-04,-0.396,-0.3
-4.80E-04,-0.392,-0.26
-4.80E-04,-0.384,-0.26
-4.80E-04,-0.396,-0.26
-4.80E-04,-0.4,-0.22
-4.80E-04,-0.384,-0.38
-4.80E-04,-0.388,-0.34
-4.79E-04,-0.4,-0.34
-4.79E-04,-0.396,-0.34
-4.79E-04,-0.388,-0.34
-4.79E-04,-0.388,-0.34
-4.79E-04,-0.372,-0.34
-4.79E-04,-0.38,-0.46
-4.79E-04,-0.38,-0.34
-4.79E-04,-0.376,-0.26
-4.79E-04,-0.376,-0.3
-4.79E-04,-0.376,-0.22
-4.78E-04,-0.364,-0.3
-4.78E-04,-0.364,-0.34
-4.78E-04,-0.368,-0.22
-4.78E-04,-0.368,-0.34
-4.78E-04,-0.368,-0.3
-4.78E-04,-0.368,-0.38
-4.78E-04,-0.364,-0.22
-4.78E-04,-0.352,-0.26
-4.78E-04,-0.364,-0.38
-4.78E-04,-0.364,-0.3
-4.77E-04,-0.36,-0.22
-4.77E-04,-0.352,-0.3
-4.77E-04,-0.348,-0.3
-4.77E-04,-0.348,-0.18
-4.77E-04,-0.348,-0.3
-4.77E-04,-0.348,-0.22
-4.77E-04,-0.352,-0.26
-4.77E-04,-0.344,-0.18
-4.77E-04,-0.36,-0.26
-4.77E-04,-0.352,-0.26
-4.76E-04,-0.348,-0.22
-4.76E-04,-0.344,-0.26
-4.76E-04,-0.34,-0.26
-4.76E-04,-0.344,-0.3
-4.76E-04,-0.332,-0.26
-4.76E-04,-0.332,-0.3
-4.76E-04,-0.332,-0.26
-4.76E-04,-0.332,-0.22
-4.76E-04,-0.332,-0.34
-4.76E-04,-0.332,-0.22
-4.75E-04,-0.324,-0.26
-4.75E-04,-0.328,-0.3
-4.75E-04,-0.324,-0.3
-4.75E-04,-0.328,-0.26
-4.75E-04,-0.32,-0.26
-4.75E-04,-0.32,-0.18
-4.75E-04,-0.316,-0.3
-4.75E-04,-0.316,-0.26
-4.75E-04,-0.312,-0.3
-4.75E-04,-0.3,-0.34
-4.74E-04,-0.312,-0.22
-4.74E-04,-0.308,-0.26
-4.74E-04,-0.308,-0.26
-4.74E-04,-0.3,-0.22
-4.74E-04,-0.312,-0.18
-4.74E-04,-0.308,-0.26
-4.74E-04,-0.304,-0.26
-4.74E-04,-0.304,-0.22
-4.74E-04,-0.296,-0.26
-4.74E-04,-0.3,-0.3
-4.73E-04,-0.312,-0.3
-4.73E-04,-0.292,-0.26
-4.73E-04,-0.288,-0.22
-4.73E-04,-0.296,-0.26
-4.73E-04,-0.292,-0.22
-4.73E-04,-0.288,-0.34
-4.73E-04,-0.28,-0.22
-4.73E-04,-0.292,-0.14
-4.73E-04,-0.284,-0.22
-4.73E-04,-0.284,-0.14
-4.72E-04,-0.28,-0.22
-4.72E-04,-0.276,-0.14
-4.72E-04,-0.284,-0.22
-4.72E-04,-0.276,-0.26
-4.72E-04,-0.276,-0.14
-4.72E-04,-0.276,-0.22
-4.72E-04,-0.28,-0.18
-4.72E-04,-0.28,-0.22
-4.72E-04,-0.264,-0.14
-4.72E-04,-0.26,-0.18
-4.71E-04,-0.272,-0.26
-4.71E-04,-0.256,-0.14
-4.71E-04,-0.26,-0.18
-4.71E-04,-0.26,-0.22
-4.71E-04,-0.264,-0.18
-4.71E-04,-0.268,-0.14
-4.71E-04,-0.252,-0.06
-4.71E-04,-0.252,-0.18
-4.71E-04,-0.252,-0.22
-4.71E-04,-0.26,-0.22
-4.70E-04,-0.244,-0.14
-4.70E-04,-0.252,-0.14
-4.70E-04,-0.248,-0.22
-4.70E-04,-0.252,-0.18
-4.70E-04,-0.236,-0.18
-4.70E-04,-0.236,-0.22
-4.70E-04,-0.236,-0.14
-4.70E-04,-0.236,-0.18
-4.70E-04,-0.236,-0.18
-4.70E-04,-0.228,-0.34
-4.69E-04,-0.236,-0.18
-4.69E-04,-0.236,-0.22
-4.69E-04,-0.228,-0.1
-4.69E-04,-0.228,-0.22
-4.69E-04,-0.224,-0.22
-4.69E-04,-0.224,-0.22
-4.69E-04,-0.224,-0.18
-4.69E-04,-0.22,-0.18
-4.69E-04,-0.224,-0.18
-4.69E-04,-0.22,-0.14
-4.68E-04,-0.224,-0.22
