Model,DPO4034,DPO4034
Firmware Version,2.1,2.1
,,
Point Format,Y,Y
Horizontal Units,S,S
Horizontal Scale,0.0001,0.0001
Sample Interval,1.00E-07,1.00E-07
Record Length,10000,10000
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.1,1
Label,,
TIME,CH1,CH2
-2.76E-04,-0.276,-0.22
-2.76E-04,-0.272,-0.26
-2.76E-04,-0.264,-0.22
-2.76E-04,-0.26,-0.22
-2.75E-04,-0.268,-0.22
-2.75E-04,-0.268,-0.22
-2.75E-04,-0.26,-0.14
-2.75E-04,-0.26,-0.22
-2.75E-04,-0.268,-0.18
-2.75E-04,-0.256,-0.22
-2.75E-04,-0.26,-0.18
-2.75E-04,-0.256,-0.22
-2.75E-04,-0.256,-0.18
-2.75E-04,-0.252,-0.18
-2.74E-04,-0.252,-0.26
-2.74E-04,-0.252,-0.14
-2.74E-04,-0.256,-0.18
-2.74E-04,-0.256,-0.18
-2.74E-04,-0.244,-0.18
-2.74E-04,-0.24,-0.22
-2.74E-04,-0.24,-0.14
-2.74E-04,-0.232,-0.18
-2.74E-04,-0.236,-0.18
-2.74E-04,-0.232,-0.18
-2.73E-04,-0.236,-0.14
-2.73E-04,-0.236,-0.1
-2.73E-04,-0.236,-0.18
-2.73E-04,-0.24,-0.18
-2.73E-04,-0.236,-0.22
-2.73E-04,-0.232,-0.18
-2.73E-04,-0.232,-0.22
-2.73E-04,-0.22,-0.22
-2.73E-04,-0.22,-0.18
-2.73E-04,-0.216,-0.14
-2.72E-04,-0.216,-0.14
-2.72E-04,-0.216,-0.14
-2.72E-04,-0.22,-0.14
-2.72E-04,-0.216,-0.22
-2.72E-04,-0.224,-0.02
-2.72E-04,-0.208,-0.18
-2.72E-04,-0.208,-0.14
-2.72E-04,-0.216,-0.18
-2.72E-04,-0.204,-0.14
-2.72E-04,-0.204,-0.02
-2.71E-04,-0.204,-0.18
-2.71E-04,-0.208,-0.1
-2.71E-04,-0.204,-0.18
-2.71E-04,-0.196,-0.14
-2.71E-04,-0.188,-0.22
-2.71E-04,-0.196,-0.18
-2.71E-04,-0.196,-0.18
-2.71E-04,-0.2,-0.1
-2.71E-04,-0.192,-0.14
-2.71E-04,-0.204,-0.1
-2.70E-04,-0.188,-0.06
-2.70E-04,-0.196,-0.26
-2.70E-04,-0.188,-0.06
-2.70E-04,-0.192,-0.1
-2.70E-04,-0.176,-0.1
-2.70E-04,-0.188,-0.18
-2.70E-04,-0.192,-0.1
-2.70E-04,-0.188,-0.14
-2.70E-04,-0.196,-0.22
-2.70E-04,-0.196,-0.22
-2.69E-04,-0.204,-0.18
-2.69E-04,-0.196,-0.1
-2.69E-04,-0.196,-0.06
-2.69E-04,-0.2,-0.1
-2.69E-04,-0.212,-0.1
-2.69E-04,-0.204,-0.14
-2.69E-04,-0.208,-0.18
-2.69E-04,-0.204,-0.1
-2.69E-04,-0.208,-0.14
-2.69E-04,-0.208,-0.1
-2.68E-04,-0.224,-0.06
-2.68E-04,-0.216,-0.14
-2.68E-04,-0.208,-0.1
-2.68E-04,-0.224,-0.14
-2.68E-04,-0.22,-0.22
-2.68E-04,-0.216,-0.22
-2.68E-04,-0.228,-0.18
-2.68E-04,-0.22,-0.14
-2.68E-04,-0.232,-0.14
-2.68E-04,-0.224,-0.14
-2.67E-04,-0.236,-0.22
-2.67E-04,-0.22,-0.18
-2.67E-04,-0.232,-0.18
-2.67E-04,-0.24,-0.18
-2.67E-04,-0.236,-0.22
-2.67E-04,-0.244,-0.18
-2.67E-04,-0.24,-0.18
-2.67E-04,-0.236,-0.22
-2.67E-04,-0.248,-0.18
-2.67E-04,-0.24,-0.14
-2.66E-04,-0.236,-0.14
-2.66E-04,-0.24,-0.18
-2.66E-04,-0.248,-0.14
-2.66E-04,-0.252,-0.14
-2.66E-04,-0.252,-0.22
-2.66E-04,-0.252,-0.26
-2.66E-04,-0.256,-0.18
-2.66E-04,-0.26,-0.22
-2.66E-04,-0.26,-0.22
-2.66E-04,-0.264,-0.22
-2.65E-04,-0.26,-0.18
-2.65E-04,-0.256,-0.18
-2.65E-04,-0.26,-0.22
-2.65E-04,-0.272,-0.18
-2.65E-04,-0.26,-0.18
-2.65E-04,-0.268,-0.26
-2.65E-04,-0.28,-0.22
-2.65E-04,-0.276,-0.22
-2.65E-04,-0.28,-0.3
-2.65E-04,-0.276,-0.22
-2.64E-04,-0.268,-0.26
-2.64E-04,-0.28,-0.22
-2.64E-04,-0.288,-0.22
-2.64E-04,-0.28,-0.22
-2.64E-04,-0.276,-0.18
-2.64E-04,-0.284,-0.14
-2.64E-04,-0.284,-0.26
-2.64E-04,-0.296,-0.3
-2.64E-04,-0.288,-0.26
-2.64E-04,-0.296,-0.22
-2.63E-04,-0.296,-0.18
-2.63E-04,-0.292,-0.22
-2.63E-04,-0.3,-0.26
-2.63E-04,-0.3,-0.22
-2.63E-04,-0.308,-0.14
-2.63E-04,-0.3,-0.18
-2.63E-04,-0.312,-0.26
-2.63E-04,-0.308,-0.22
-2.63E-04,-0.308,-0.26
-2.63E-04,-0.312,-0.14
-2.62E-04,-0.312,-0.22
-2.62E-04,-0.316,-0.22
-2.62E-04,-0.312,-0.18
-2.62E-04,-0.324,-0.22
-2.62E-04,-0.312,-0.14
-2.62E-04,-0.32,-0.22
-2.62E-04,-0.324,-0.3
-2.62E-04,-0.324,-0.3
-2.62E-04,-0.32,-0.18
-2.62E-04,-0.316,-0.22
-2.61E-04,-0.328,-0.34
-2.61E-04,-0.344,-0.26
-2.61E-04,-0.332,-0.22
-2.61E-04,-0.332,-0.26
-2.61E-04,-0.336,-0.22
-2.61E-04,-0.336,-0.22
-2.61E-04,-0.328,-0.34
-2.61E-04,-0.34,-0.22
-2.61E-04,-0.34,-0.34
-2.61E-04,-0.336,-0.34
-2.60E-04,-0.34,-0.22
-2.60E-04,-0.352,-0.3
-2.60E-04,-0.352,-0.26
-2.60E-04,-0.34,-0.38
-2.60E-04,-0.344,-0.3
-2.60E-04,-0.344,-0.3
-2.60E-04,-0.352,-0.18
-2.60E-04,-0.352,-0.34
-2.60E-04,-0.36,-0.3
-2.60E-04,-0.352,-0.26
-2.59E-04,-0.356,-0.26
-2.59E-04,-0.344,-0.26
-2.59E-04,-0.36,-0.26
-2.59E-04,-0.36,-0.22
-2.59E-04,-0.368,-0.3
-2.59E-04,-0.368,-0.34
-2.59E-04,-0.372,-0.3
-2.59E-04,-0.368,-0.34
-2.59E-04,-0.372,-0.26
-2.59E-04,-0.372,-0.34
-2.58E-04,-0.372,-0.26
-2.58E-04,-0.38,-0.42
-2.58E-04,-0.376,-0.3
-2.58E-04,-0.38,-0.26
-2.58E-04,-0.372,-0.3
-2.58E-04,-0.372,-0.34
-2.58E-04,-0.376,-0.3
-2.58E-04,-0.38,-0.38
-2.58E-04,-0.392,-0.3
-2.58E-04,-0.38,-0.26
-2.57E-04,-0.388,-0.38
-2.57E-04,-0.392,-0.34
-2.57E-04,-0.392,-0.3
-2.57E-04,-0.384,-0.34
-2.57E-04,-0.396,-0.34
-2.57E-04,-0.4,-0.3
-2.57E-04,-0.404,-0.3
-2.57E-04,-0.396,-0.26
-2.57E-04,-0.408,-0.3
-2.57E-04,-0.408,-0.34
-2.56E-04,-0.408,-0.26
-2.56E-04,-0.412,-0.42
-2.56E-04,-0.412,-0.26
-2.56E-04,-0.42,-0.3
-2.56E-04,-0.408,-0.34
-2.56E-04,-0.416,-0.42
-2.56E-04,-0.416,-0.46
-2.56E-04,-0.416,-0.38
-2.56E-04,-0.408,-0.34
-2.56E-04,-0.416,-0.42
-2.55E-04,-0.416,-0.34
-2.55E-04,-0.412,-0.42
-2.55E-04,-0.428,-0.34
-2.55E-04,-0.428,-0.42
-2.55E-04,-0.428,-0.34
-2.55E-04,-0.432,-0.34
-2.55E-04,-0.432,-0.34
-2.55E-04,-0.42,-0.38
-2.55E-04,-0.428,-0.42
-2.55E-04,-0.432,-0.38
-2.54E-04,-0.432,-0.34
-2.54E-04,-0.44,-0.38
-2.54E-04,-0.444,-0.38
-2.54E-04,-0.444,-0.42
-2.54E-04,-0.444,-0.38
-2.54E-04,-0.448,-0.3
-2.54E-04,-0.448,-0.38
-2.54E-04,-0.44,-0.42
-2.54E-04,-0.46,-0.42
-2.54E-04,-0.448,-0.3
-2.53E-04,-0.452,-0.38
-2.53E-04,-0.448,-0.42
-2.53E-04,-0.444,-0.34
-2.53E-04,-0.448,-0.3
-2.53E-04,-0.46,-0.3
-2.53E-04,-0.452,-0.38
-2.53E-04,-0.464,-0.46
-2.53E-04,-0.468,-0.34
-2.53E-04,-0.46,-0.38
-2.53E-04,-0.472,-0.3
-2.52E-04,-0.464,-0.5
-2.52E-04,-0.468,-0.38
-2.52E-04,-0.472,-0.42
-2.52E-04,-0.472,-0.38
-2.52E-04,-0.472,-0.38
-2.52E-04,-0.48,-0.5
-2.52E-04,-0.472,-0.38
-2.52E-04,-0.48,-0.38
-2.52E-04,-0.484,-0.42
-2.52E-04,-0.488,-0.38
-2.51E-04,-0.484,-0.46
-2.51E-04,-0.476,-0.5
-2.51E-04,-0.492,-0.42
-2.51E-04,-0.492,-0.38
-2.51E-04,-0.488,-0.46
-2.51E-04,-0.484,-0.38
-2.51E-04,-0.492,-0.34
-2.51E-04,-0.496,-0.42
-2.51E-04,-0.496,-0.5
-2.51E-04,-0.504,-0.42
-2.50E-04,-0.492,-0.42
-2.50E-04,-0.508,-0.34
-2.50E-04,-0.5,-0.46
-2.50E-04,-0.5,-0.5
-2.50E-04,-0.504,-0.38
-2.50E-04,-0.504,-0.46
-2.50E-04,-0.512,-0.38
-2.50E-04,-0.504,-0.42
-2.50E-04,-0.512,-0.42
-2.50E-04,-0.508,-0.46
-2.49E-04,-0.504,-0.42
-2.49E-04,-0.512,-0.5
-2.49E-04,-0.512,-0.42
-2.49E-04,-0.52,-0.34
-2.49E-04,-0.512,-0.38
-2.49E-04,-0.524,-0.5
-2.49E-04,-0.528,-0.42
-2.49E-04,-0.528,-0.38
-2.49E-04,-0.528,-0.42
-2.49E-04,-0.528,-0.5
-2.48E-04,-0.528,-0.46
-2.48E-04,-0.536,-0.54
-2.48E-04,-0.544,-0.54
-2.48E-04,-0.536,-0.54
-2.48E-04,-0.536,-0.5
-2.48E-04,-0.54,-0.5
-2.48E-04,-0.544,-0.46
-2.48E-04,-0.536,-0.5
-2.48E-04,-0.548,-0.42
-2.48E-04,-0.556,-0.54
-2.47E-04,-0.548,-0.42
-2.47E-04,-0.544,-0.46
-2.47E-04,-0.536,-0.54
-2.47E-04,-0.548,-0.5
-2.47E-04,-0.556,-0.5
-2.47E-04,-0.552,-0.42
-2.47E-04,-0.56,-0.5
-2.47E-04,-0.556,-0.42
-2.47E-04,-0.568,-0.5
-2.47E-04,-0.56,-0.42
-2.46E-04,-0.548,-0.5
-2.46E-04,-0.556,-0.42
-2.46E-04,-0.56,-0.54
-2.46E-04,-0.556,-0.46
-2.46E-04,-0.572,-0.5
-2.46E-04,-0.572,-0.54
-2.46E-04,-0.576,-0.54
-2.46E-04,-0.572,-0.5
-2.46E-04,-0.568,-0.5
-2.46E-04,-0.58,-0.5
-2.45E-04,-0.576,-0.46
-2.45E-04,-0.58,-0.54
-2.45E-04,-0.576,-0.5
-2.45E-04,-0.58,-0.46
-2.45E-04,-0.592,-0.54
-2.45E-04,-0.588,-0.5
-2.45E-04,-0.576,-0.46
-2.45E-04,-0.58,-0.54
-2.45E-04,-0.584,-0.5
-2.45E-04,-0.592,-0.5
-2.44E-04,-0.604,-0.46
-2.44E-04,-0.596,-0.42
-2.44E-04,-0.588,-0.54
-2.44E-04,-0.588,-0.54
-2.44E-04,-0.596,-0.42
-2.44E-04,-0.6,-0.46
-2.44E-04,-0.608,-0.5
-2.44E-04,-0.596,-0.54
-2.44E-04,-0.608,-0.54
-2.44E-04,-0.612,-0.5
-2.43E-04,-0.6,-0.54
-2.43E-04,-0.6,-0.42
-2.43E-04,-0.604,-0.66
-2.43E-04,-0.616,-0.5
-2.43E-04,-0.612,-0.54
-2.43E-04,-0.616,-0.5
-2.43E-04,-0.62,-0.54
-2.43E-04,-0.608,-0.58
-2.43E-04,-0.62,-0.5
-2.43E-04,-0.62,-0.54
-2.42E-04,-0.628,-0.54
-2.42E-04,-0.616,-0.5
-2.42E-04,-0.62,-0.46
-2.42E-04,-0.632,-0.62
-2.42E-04,-0.628,-0.46
-2.42E-04,-0.636,-0.54
-2.42E-04,-0.632,-0.58
-2.42E-04,-0.632,-0.54
-2.42E-04,-0.636,-0.58
-2.42E-04,-0.628,-0.5
-2.41E-04,-0.632,-0.5
-2.41E-04,-0.636,-0.54
-2.41E-04,-0.648,-0.54
-2.41E-04,-0.648,-0.54
-2.41E-04,-0.64,-0.58
-2.41E-04,-0.636,-0.58
-2.41E-04,-0.652,-0.58
-2.41E-04,-0.636,-0.58
-2.41E-04,-0.64,-0.54
-2.41E-04,-0.652,-0.5
-2.40E-04,-0.652,-0.58
-2.40E-04,-0.648,-0.58
-2.40E-04,-0.66,-0.5
-2.40E-04,-0.656,-0.5
-2.40E-04,-0.656,-0.54
-2.40E-04,-0.664,-0.62
-2.40E-04,-0.664,-0.54
-2.40E-04,-0.664,-0.58
-2.40E-04,-0.672,-0.62
-2.40E-04,-0.656,-0.58
-2.39E-04,-0.668,-0.62
-2.39E-04,-0.672,-0.54
-2.39E-04,-0.68,-0.62
-2.39E-04,-0.676,-0.58
-2.39E-04,-0.672,-0.62
-2.39E-04,-0.672,-0.66
-2.39E-04,-0.68,-0.54
-2.39E-04,-0.672,-0.62
-2.39E-04,-0.684,-0.66
-2.39E-04,-0.68,-0.58
-2.38E-04,-0.688,-0.7
-2.38E-04,-0.68,-0.62
-2.38E-04,-0.688,-0.66
-2.38E-04,-0.684,-0.58
-2.38E-04,-0.696,-0.66
-2.38E-04,-0.688,-0.74
-2.38E-04,-0.696,-0.66
-2.38E-04,-0.692,-0.62
-2.38E-04,-0.688,-0.7
-2.38E-04,-0.704,-0.78
-2.37E-04,-0.692,-0.66
-2.37E-04,-0.7,-0.7
-2.37E-04,-0.7,-0.62
-2.37E-04,-0.712,-0.66
-2.37E-04,-0.7,-0.66
-2.37E-04,-0.708,-0.66
-2.37E-04,-0.704,-0.58
-2.37E-04,-0.708,-0.62
-2.37E-04,-0.712,-0.62
-2.37E-04,-0.716,-0.62
-2.36E-04,-0.712,-0.74
-2.36E-04,-0.716,-0.66
-2.36E-04,-0.708,-0.66
-2.36E-04,-0.716,-0.78
-2.36E-04,-0.716,-0.62
-2.36E-04,-0.724,-0.62
-2.36E-04,-0.72,-0.78
-2.36E-04,-0.728,-0.62
-2.36E-04,-0.728,-0.66
-2.36E-04,-0.728,-0.7
-2.35E-04,-0.728,-0.7
-2.35E-04,-0.732,-0.62
-2.35E-04,-0.728,-0.62
-2.35E-04,-0.732,-0.66
-2.35E-04,-0.736,-0.78
-2.35E-04,-0.736,-0.66
-2.35E-04,-0.748,-0.7
-2.35E-04,-0.74,-0.66
-2.35E-04,-0.744,-0.7
-2.35E-04,-0.748,-0.7
-2.34E-04,-0.736,-0.66
-2.34E-04,-0.74,-0.66
-2.34E-04,-0.744,-0.7
-2.34E-04,-0.756,-0.7
-2.34E-04,-0.748,-0.7
-2.34E-04,-0.748,-0.7
-2.34E-04,-0.748,-0.7
-2.34E-04,-0.756,-0.62
-2.34E-04,-0.76,-0.7
-2.34E-04,-0.748,-0.66
-2.33E-04,-0.76,-0.7
-2.33E-04,-0.768,-0.62
-2.33E-04,-0.768,-0.66
-2.33E-04,-0.764,-0.74
-2.33E-04,-0.764,-0.7
-2.33E-04,-0.764,-0.62
-2.33E-04,-0.76,-0.7
-2.33E-04,-0.78,-0.7
-2.33E-04,-0.764,-0.7
-2.33E-04,-0.772,-0.66
-2.32E-04,-0.78,-0.7
-2.32E-04,-0.776,-0.82
-2.32E-04,-0.78,-0.7
-2.32E-04,-0.78,-0.74
-2.32E-04,-0.788,-0.78
-2.32E-04,-0.78,-0.78
-2.32E-04,-0.772,-0.7
-2.32E-04,-0.788,-0.74
-2.32E-04,-0.788,-0.7
-2.32E-04,-0.788,-0.7
-2.31E-04,-0.788,-0.78
-2.31E-04,-0.8,-0.82
-2.31E-04,-0.788,-0.7
-2.31E-04,-0.792,-0.7
-2.31E-04,-0.796,-0.82
-2.31E-04,-0.792,-0.74
-2.31E-04,-0.796,-0.78
-2.31E-04,-0.796,-0.78
-2.31E-04,-0.796,-0.82
-2.31E-04,-0.796,-0.66
-2.30E-04,-0.8,-0.74
-2.30E-04,-0.792,-0.82
-2.30E-04,-0.808,-0.86
-2.30E-04,-0.804,-0.7
-2.30E-04,-0.808,-0.66
-2.30E-04,-0.808,-0.7
-2.30E-04,-0.812,-0.7
-2.30E-04,-0.816,-0.7
-2.30E-04,-0.82,-0.78
-2.30E-04,-0.82,-0.7
-2.29E-04,-0.812,-0.86
-2.29E-04,-0.812,-0.66
-2.29E-04,-0.812,-0.78
-2.29E-04,-0.816,-0.82
-2.29E-04,-0.828,-0.7
-2.29E-04,-0.828,-0.74
-2.29E-04,-0.824,-0.78
-2.29E-04,-0.828,-0.78
-2.29E-04,-0.824,-0.82
-2.29E-04,-0.836,-0.86
-2.28E-04,-0.832,-0.78
-2.28E-04,-0.836,-0.78
-2.28E-04,-0.832,-0.74
-2.28E-04,-0.836,-0.86
-2.28E-04,-0.84,-0.78
-2.28E-04,-0.844,-0.82
-2.28E-04,-0.84,-0.7
-2.28E-04,-0.844,-0.78
-2.28E-04,-0.836,-0.82
-2.28E-04,-0.848,-0.78
-2.27E-04,-0.848,-0.86
-2.27E-04,-0.856,-0.74
-2.27E-04,-0.844,-0.82
-2.27E-04,-0.852,-0.82
-2.27E-04,-0.864,-0.86
-2.27E-04,-0.856,-0.78
-2.27E-04,-0.844,-0.94
-2.27E-04,-0.86,-0.82
-2.27E-04,-0.86,-0.78
-2.27E-04,-0.864,-0.78
-2.26E-04,-0.856,-0.74
-2.26E-04,-0.872,-0.9
-2.26E-04,-0.864,-0.86
-2.26E-04,-0.872,-0.74
-2.26E-04,-0.876,-0.78
-2.26E-04,-0.868,-0.86
-2.26E-04,-0.872,-0.78
-2.26E-04,-0.872,-0.86
-2.26E-04,-0.872,-0.86
-2.26E-04,-0.872,-0.82
-2.25E-04,-0.876,-0.86
-2.25E-04,-0.876,-0.86
-2.25E-04,-0.88,-0.82
-2.25E-04,-0.884,-0.82
-2.25E-04,-0.88,-0.78
-2.25E-04,-0.88,-0.78
-2.25E-04,-0.884,-0.78
-2.25E-04,-0.888,-0.74
-2.25E-04,-0.896,-0.86
-2.25E-04,-0.896,-0.82
-2.24E-04,-0.888,-0.82
-2.24E-04,-0.896,-0.82
-2.24E-04,-0.892,-0.82
-2.24E-04,-0.9,-0.82
-2.24E-04,-0.888,-0.86
-2.24E-04,-0.896,-0.78
-2.24E-04,-0.908,-0.78
-2.24E-04,-0.9,-0.86
-2.24E-04,-0.896,-0.82
-2.24E-04,-0.9,-0.82
-2.23E-04,-0.896,-0.9
-2.23E-04,-0.9,-0.86
-2.23E-04,-0.908,-0.9
-2.23E-04,-0.92,-0.82
-2.23E-04,-0.92,-0.78
-2.23E-04,-0.92,-0.78
-2.23E-04,-0.92,-0.82
-2.23E-04,-0.924,-0.86
-2.23E-04,-0.92,-0.94
-2.23E-04,-0.916,-0.86
-2.22E-04,-0.908,-0.86
-2.22E-04,-0.916,-0.82
-2.22E-04,-0.932,-0.86
-2.22E-04,-0.92,-0.86
-2.22E-04,-0.928,-0.9
-2.22E-04,-0.944,-0.86
-2.22E-04,-0.936,-0.86
-2.22E-04,-0.932,-0.9
-2.22E-04,-0.928,-0.9
-2.22E-04,-0.94,-0.82
-2.21E-04,-0.94,-0.86
-2.21E-04,-0.944,-0.86
-2.21E-04,-0.944,-0.82
-2.21E-04,-0.936,-0.9
-2.21E-04,-0.94,-0.86
-2.21E-04,-0.94,-0.9
-2.21E-04,-0.948,-0.94
-2.21E-04,-0.956,-0.86
-2.21E-04,-0.952,-0.82
-2.21E-04,-0.94,-0.9
-2.20E-04,-0.928,-0.82
-2.20E-04,-0.944,-0.9
-2.20E-04,-0.94,-0.9
-2.20E-04,-0.928,-0.9
-2.20E-04,-0.94,-0.82
-2.20E-04,-0.928,-0.86
-2.20E-04,-0.928,-0.9
-2.20E-04,-0.936,-0.86
-2.20E-04,-0.92,-0.9
-2.20E-04,-0.924,-0.82
-2.19E-04,-0.924,-0.82
-2.19E-04,-0.928,-0.9
-2.19E-04,-0.916,-0.98
-2.19E-04,-0.92,-0.86
-2.19E-04,-0.924,-0.86
-2.19E-04,-0.912,-0.86
-2.19E-04,-0.904,-0.82
-2.19E-04,-0.904,-0.9
-2.19E-04,-0.9,-0.78
-2.19E-04,-0.916,-0.86
-2.18E-04,-0.912,-0.98
-2.18E-04,-0.9,-0.82
-2.18E-04,-0.908,-0.82
-2.18E-04,-0.9,-0.9
-2.18E-04,-0.904,-0.86
-2.18E-04,-0.908,-0.82
-2.18E-04,-0.896,-0.86
-2.18E-04,-0.9,-0.86
-2.18E-04,-0.896,-0.86
-2.18E-04,-0.896,-0.78
-2.17E-04,-0.9,-0.82
-2.17E-04,-0.892,-0.9
-2.17E-04,-0.884,-0.82
-2.17E-04,-0.892,-0.82
-2.17E-04,-0.88,-0.78
-2.17E-04,-0.876,-0.78
-2.17E-04,-0.88,-0.74
-2.17E-04,-0.88,-0.82
-2.17E-04,-0.876,-0.78
-2.17E-04,-0.872,-0.82
-2.16E-04,-0.88,-0.82
-2.16E-04,-0.872,-0.82
-2.16E-04,-0.88,-0.86
-2.16E-04,-0.872,-0.86
-2.16E-04,-0.868,-0.78
-2.16E-04,-0.868,-0.78
-2.16E-04,-0.864,-0.78
-2.16E-04,-0.864,-0.86
-2.16E-04,-0.864,-0.78
-2.16E-04,-0.852,-0.82
-2.15E-04,-0.852,-0.9
-2.15E-04,-0.86,-0.82
-2.15E-04,-0.864,-0.78
-2.15E-04,-0.86,-0.78
-2.15E-04,-0.864,-0.82
-2.15E-04,-0.852,-0.86
-2.15E-04,-0.856,-0.82
-2.15E-04,-0.848,-0.74
-2.15E-04,-0.856,-0.78
-2.15E-04,-0.852,-0.74
-2.14E-04,-0.836,-0.78
-2.14E-04,-0.844,-0.82
-2.14E-04,-0.844,-0.78
-2.14E-04,-0.844,-0.78
-2.14E-04,-0.84,-0.86
-2.14E-04,-0.844,-0.78
-2.14E-04,-0.832,-0.82
-2.14E-04,-0.836,-0.82
-2.14E-04,-0.84,-0.78
-2.14E-04,-0.836,-0.7
-2.13E-04,-0.832,-0.74
-2.13E-04,-0.824,-0.74
-2.13E-04,-0.832,-0.74
-2.13E-04,-0.828,-0.66
-2.13E-04,-0.828,-0.66
-2.13E-04,-0.828,-0.74
-2.13E-04,-0.816,-0.74
-2.13E-04,-0.82,-0.82
-2.13E-04,-0.82,-0.82
-2.13E-04,-0.824,-0.7
-2.12E-04,-0.816,-0.74
-2.12E-04,-0.812,-0.82
-2.12E-04,-0.82,-0.78
-2.12E-04,-0.82,-0.78
-2.12E-04,-0.816,-0.62
-2.12E-04,-0.808,-0.7
-2.12E-04,-0.804,-0.7
-2.12E-04,-0.808,-0.74
-2.12E-04,-0.808,-0.78
-2.12E-04,-0.808,-0.7
-2.11E-04,-0.804,-0.82
-2.11E-04,-0.796,-0.78
-2.11E-04,-0.796,-0.74
-2.11E-04,-0.8,-0.7
-2.11E-04,-0.784,-0.7
-2.11E-04,-0.804,-0.78
-2.11E-04,-0.792,-0.7
-2.11E-04,-0.788,-0.7
-2.11E-04,-0.792,-0.7
-2.11E-04,-0.784,-0.74
-2.10E-04,-0.792,-0.7
-2.10E-04,-0.784,-0.7
-2.10E-04,-0.78,-0.62
-2.10E-04,-0.784,-0.78
-2.10E-04,-0.772,-0.7
-2.10E-04,-0.788,-0.82
-2.10E-04,-0.772,-0.66
-2.10E-04,-0.772,-0.78
-2.10E-04,-0.768,-0.7
-2.10E-04,-0.772,-0.74
-2.09E-04,-0.772,-0.7
-2.09E-04,-0.772,-0.66
-2.09E-04,-0.768,-0.62
-2.09E-04,-0.764,-0.66
-2.09E-04,-0.764,-0.74
-2.09E-04,-0.764,-0.66
-2.09E-04,-0.76,-0.7
-2.09E-04,-0.764,-0.82
-2.09E-04,-0.752,-0.54
-2.09E-04,-0.768,-0.7
-2.08E-04,-0.752,-0.66
-2.08E-04,-0.752,-0.74
-2.08E-04,-0.752,-0.7
-2.08E-04,-0.744,-0.62
-2.08E-04,-0.744,-0.7
-2.08E-04,-0.748,-0.7
-2.08E-04,-0.74,-0.66
-2.08E-04,-0.744,-0.66
-2.08E-04,-0.744,-0.66
-2.08E-04,-0.736,-0.7
-2.07E-04,-0.736,-0.82
-2.07E-04,-0.728,-0.62
-2.07E-04,-0.728,-0.66
-2.07E-04,-0.732,-0.58
-2.07E-04,-0.732,-0.66
-2.07E-04,-0.732,-0.62
-2.07E-04,-0.732,-0.66
-2.07E-04,-0.724,-0.66
-2.07E-04,-0.716,-0.66
-2.07E-04,-0.736,-0.74
-2.06E-04,-0.716,-0.7
-2.06E-04,-0.732,-0.7
-2.06E-04,-0.72,-0.66
-2.06E-04,-0.72,-0.66
-2.06E-04,-0.712,-0.66
-2.06E-04,-0.72,-0.7
-2.06E-04,-0.712,-0.66
-2.06E-04,-0.716,-0.66
-2.06E-04,-0.708,-0.66
-2.06E-04,-0.716,-0.62
-2.05E-04,-0.716,-0.66
-2.05E-04,-0.708,-0.58
-2.05E-04,-0.712,-0.62
-2.05E-04,-0.7,-0.62
-2.05E-04,-0.7,-0.54
-2.05E-04,-0.696,-0.54
-2.05E-04,-0.692,-0.66
-2.05E-04,-0.692,-0.7
-2.05E-04,-0.696,-0.58
-2.05E-04,-0.692,-0.62
-2.04E-04,-0.692,-0.62
-2.04E-04,-0.688,-0.62
-2.04E-04,-0.688,-0.62
-2.04E-04,-0.684,-0.62
-2.04E-04,-0.68,-0.58
-2.04E-04,-0.68,-0.66
-2.04E-04,-0.684,-0.54
-2.04E-04,-0.676,-0.58
-2.04E-04,-0.672,-0.62
-2.04E-04,-0.676,-0.54
-2.03E-04,-0.672,-0.66
-2.03E-04,-0.676,-0.58
-2.03E-04,-0.672,-0.62
-2.03E-04,-0.668,-0.62
-2.03E-04,-0.668,-0.54
-2.03E-04,-0.664,-0.62
-2.03E-04,-0.668,-0.62
-2.03E-04,-0.664,-0.62
-2.03E-04,-0.664,-0.54
-2.03E-04,-0.652,-0.62
-2.02E-04,-0.664,-0.58
-2.02E-04,-0.66,-0.54
-2.02E-04,-0.66,-0.5
-2.02E-04,-0.648,-0.62
-2.02E-04,-0.652,-0.62
-2.02E-04,-0.652,-0.62
-2.02E-04,-0.644,-0.62
-2.02E-04,-0.652,-0.66
-2.02E-04,-0.652,-0.58
-2.02E-04,-0.652,-0.5
-2.01E-04,-0.644,-0.62
-2.01E-04,-0.644,-0.5
-2.01E-04,-0.64,-0.54
-2.01E-04,-0.636,-0.5
-2.01E-04,-0.644,-0.58
-2.01E-04,-0.644,-0.58
-2.01E-04,-0.644,-0.58
-2.01E-04,-0.624,-0.62
-2.01E-04,-0.636,-0.54
-2.01E-04,-0.632,-0.54
-2.00E-04,-0.632,-0.5
-2.00E-04,-0.624,-0.54
-2.00E-04,-0.632,-0.58
-2.00E-04,-0.628,-0.46
-2.00E-04,-0.62,-0.5
-2.00E-04,-0.62,-0.54
-2.00E-04,-0.624,-0.5
-2.00E-04,-0.62,-0.54
-2.00E-04,-0.62,-0.74
-2.00E-04,-0.612,-0.54
-1.99E-04,-0.616,-0.54
-1.99E-04,-0.616,-0.66
-1.99E-04,-0.604,-0.54
-1.99E-04,-0.604,-0.5
