Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,2e-06,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,1
Label,,
TIME,CH1,CH2
-9.642e-03,-1.33,0.06
-9.640e-03,-1.33,0.06
-9.638e-03,-1.35,0.1
-9.636e-03,-1.33,0.1
-9.634e-03,-1.33,0.1
-9.632e-03,-1.33,0.06
-9.630e-03,-1.33,0.1
-9.628e-03,-1.37,0.06
-9.626e-03,-1.35,0.1
-9.624e-03,-1.33,0.06
-9.622e-03,-1.35,0.1
-9.620e-03,-1.35,0.1
-9.618e-03,-1.33,0.06
-9.616e-03,-1.31,0.06
-9.614e-03,-1.33,0.14
-9.612e-03,-1.33,0.06
-9.610e-03,-1.31,0.06
-9.608e-03,-1.33,0.06
-9.606e-03,-1.31,0.1
-9.604e-03,-1.33,0.06
-9.602e-03,-1.31,0.06
-9.600e-03,-1.33,0.06
-9.598e-03,-1.33,0.06
-9.596e-03,-1.33,0.1
-9.594e-03,-1.29,0.1
-9.592e-03,-1.31,0.1
-9.590e-03,-1.33,0.06
-9.588e-03,-1.33,0.1
-9.586e-03,-1.29,0.06
-9.584e-03,-1.33,0.06
-9.582e-03,-1.27,0.06
-9.580e-03,-1.29,0.06
-9.578e-03,-1.29,0.1
-9.576e-03,-1.29,0.06
-9.574e-03,-1.29,0.06
-9.572e-03,-1.31,0.06
-9.570e-03,-1.31,0.1
-9.568e-03,-1.27,0.06
-9.566e-03,-1.31,0.1
-9.564e-03,-1.27,0.06
-9.562e-03,-1.27,0.06
-9.560e-03,-1.27,0.06
-9.558e-03,-1.31,0.06
-9.556e-03,-1.31,0.06
-9.554e-03,-1.27,0.1
-9.552e-03,-1.27,0.06
-9.550e-03,-1.27,0.1
-9.548e-03,-1.27,0.06
-9.546e-03,-1.29,0.1
-9.544e-03,-1.29,0.02
-9.542e-03,-1.29,0.06
-9.540e-03,-1.29,0.06
-9.538e-03,-1.23,0.06
-9.536e-03,-1.29,0.1
-9.534e-03,-1.29,0.06
-9.532e-03,-1.29,0.06
-9.530e-03,-1.25,0.06
-9.528e-03,-1.29,0.1
-9.526e-03,-1.25,0.1
-9.524e-03,-1.27,0.1
-9.522e-03,-1.25,0.1
-9.520e-03,-1.23,0.06
-9.518e-03,-1.23,0.06
-9.516e-03,-1.23,0.1
-9.514e-03,-1.25,0.14
-9.512e-03,-1.27,0.02
-9.510e-03,-1.23,0.06
-9.508e-03,-1.27,0.1
-9.506e-03,-1.27,0.06
-9.504e-03,-1.23,0.1
-9.502e-03,-1.25,0.06
-9.500e-03,-1.23,0.1
-9.498e-03,-1.27,0.1
-9.496e-03,-1.25,0.06
-9.494e-03,-1.23,0.06
-9.492e-03,-1.23,0.06
-9.490e-03,-1.19,0.1
-9.488e-03,-1.23,0.1
-9.486e-03,-1.25,0.06
-9.484e-03,-1.25,0.06
-9.482e-03,-1.21,0.06
-9.480e-03,-1.21,0.06
-9.478e-03,-1.23,0.06
-9.476e-03,-1.21,0.1
-9.474e-03,-1.19,0.1
-9.472e-03,-1.21,0.1
-9.470e-03,-1.23,0.1
-9.468e-03,-1.21,0.06
-9.466e-03,-1.19,0.1
-9.464e-03,-1.23,0.06
-9.462e-03,-1.23,0.1
-9.460e-03,-1.23,0.1
-9.458e-03,-1.19,0.06
-9.456e-03,-1.19,0.06
-9.454e-03,-1.21,0.1
-9.452e-03,-1.19,0.02
-9.450e-03,-1.19,0.1
-9.448e-03,-1.17,0.1
-9.446e-03,-1.19,0.1
-9.444e-03,-1.17,0.1
-9.442e-03,-1.17,0.1
-9.440e-03,-1.17,0.1
