Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,2e-05,
Sample Interval,2e-08,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,,
TIME,CH1,CH2
-1.000e-04,-0.08,0.08
-9.998e-05,-0.16,0.12
-9.996e-05,-0.16,0.08
-9.994e-05,-0.16,0.12
-9.992e-05,-0.16,0.12
-9.990e-05,-0.08,0.12
-9.988e-05,-0.12,0.16
-9.986e-05,-0.28,0.12
-9.984e-05,-0.16,0.12
-9.982e-05,-0.12,0.12
-9.980e-05,-0.16,0.12
-9.978e-05,-0.16,0.12
-9.976e-05,-0.08,0.16
-9.974e-05,-0.08,0.12
-9.972e-05,-0.16,0.16
-9.970e-05,-0.2,0.16
-9.968e-05,-0.16,0.16
-9.966e-05,-0.08,0.2
-9.964e-05,-0.08,0.16
-9.962e-05,-0.08,0.16
-9.960e-05,-0.08,0.16
-9.958e-05,-0.12,0.12
-9.956e-05,-0.16,0.16
-9.954e-05,-0.12,0.2
-9.952e-05,-0.08,0.24
-9.950e-05,0,0.2
-9.948e-05,-0.08,0.16
-9.946e-05,-0.12,0.2
-9.944e-05,0.04,0.16
-9.942e-05,-0.12,0.2
-9.940e-05,0.04,0.24
-9.938e-05,-0.16,0.2
-9.936e-05,0,0.24
-9.934e-05,-0.12,0.24
-9.932e-05,0,0.2
-9.930e-05,0,0.24
-9.928e-05,0.04,0.2
-9.926e-05,0,0.24
-9.924e-05,0,0.24
-9.922e-05,-0.08,0.2
-9.920e-05,0.08,0.28
-9.918e-05,0.04,0.28
-9.916e-05,0,0.32
-9.914e-05,0,0.24
-9.912e-05,-0.08,0.28
-9.910e-05,0.04,0.28
-9.908e-05,-0.04,0.28
-9.906e-05,-0.04,0.28
-9.904e-05,0,0.24
-9.902e-05,0.08,0.2
-9.900e-05,-0.08,0.28
-9.898e-05,0.04,0.32
-9.896e-05,0.04,0.28
-9.894e-05,0.04,0.32
-9.892e-05,0.04,0.32
-9.890e-05,0.04,0.28
-9.888e-05,0.08,0.32
-9.886e-05,0.12,0.32
-9.884e-05,0.12,0.32
-9.882e-05,0.12,0.28
-9.880e-05,0.04,0.36
-9.878e-05,0.12,0.32
-9.876e-05,0.12,0.36
-9.874e-05,0.04,0.36
-9.872e-05,0.08,0.32
-9.870e-05,0.12,0.32
-9.868e-05,0.16,0.36
-9.866e-05,0.24,0.36
-9.864e-05,0.08,0.32
-9.862e-05,0.04,0.36
-9.860e-05,0.08,0.32
-9.858e-05,0.2,0.36
-9.856e-05,0.12,0.32
-9.854e-05,0.16,0.4
-9.852e-05,0.08,0.36
-9.850e-05,0.12,0.32
-9.848e-05,0.16,0.4
-9.846e-05,0.16,0.36
-9.844e-05,0.12,0.4
-9.842e-05,0.2,0.4
-9.840e-05,0.24,0.44
-9.838e-05,0.2,0.4
-9.836e-05,0.24,0.36
-9.834e-05,0.08,0.44
-9.832e-05,0.2,0.4
-9.830e-05,0.2,0.4
-9.828e-05,0.24,0.4
-9.826e-05,0.16,0.44
-9.824e-05,0.2,0.4
-9.822e-05,0.24,0.4
