Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.02,
Sample Interval,2e-05,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.5
Label,,
TIME,CH1,CH2
-1.000e-01,-0.02,-0.04
-9.998e-02,0,-0.02
-9.996e-02,-0.02,0
-9.994e-02,0,-0.02
-9.992e-02,-0.02,-0.04
-9.990e-02,0,-0.02
-9.988e-02,-0.02,-0.04
-9.986e-02,0,-0.02
-9.984e-02,0,-0.02
-9.982e-02,0,-0.06
-9.980e-02,-0.02,-0.02
-9.978e-02,0.02,-0.04
-9.976e-02,0,0
-9.974e-02,0.02,-0.02
-9.972e-02,0,0
-9.970e-02,0.04,0
-9.968e-02,0.02,-0.02
-9.966e-02,0.02,-0.02
-9.964e-02,-0.02,-0.04
-9.962e-02,0.02,-0.02
-9.960e-02,0.02,0
-9.958e-02,0.04,0
-9.956e-02,0.04,0
-9.954e-02,0.02,0
-9.952e-02,0.02,0
-9.950e-02,0.02,-0.04
-9.948e-02,0.04,0
-9.946e-02,0,0
-9.944e-02,0.04,0
-9.942e-02,0,-0.04
-9.940e-02,0.04,0.04
-9.938e-02,0.04,-0.04
-9.936e-02,0.04,0
-9.934e-02,0.04,0.04
-9.932e-02,0.04,0.02
-9.930e-02,0.02,0.04
-9.928e-02,0.06,0
-9.926e-02,0.06,0.02
-9.924e-02,0.04,0
-9.922e-02,0.04,0.04
-9.920e-02,0.04,0.04
-9.918e-02,0.06,0.04
-9.916e-02,0.06,0.06
-9.914e-02,0.06,0.02
-9.912e-02,0.06,0.04
-9.910e-02,0.06,0.04
-9.908e-02,0.08,0.02
-9.906e-02,0.06,0.02
-9.904e-02,0.08,0.02
-9.902e-02,0.06,0
-9.900e-02,0.06,0.06
-9.898e-02,0.08,0.04
-9.896e-02,0.06,0.06
-9.894e-02,0.08,0.06
-9.892e-02,0.06,0.04
-9.890e-02,0.08,0.06
-9.888e-02,0.08,0.06
-9.886e-02,0.1,0.06
-9.884e-02,0.06,0.04
-9.882e-02,0.1,0.06
-9.880e-02,0.06,0.06
-9.878e-02,0.1,0.08
